FOMCdate,GBdate,GBpubDate
19920818,19920813,19920813
19921006,19920930,19920930
19921117,19921112,19921112
19921222,19921216,19921216
19930203,19930129,19930127
19930323,19930317,19930317
19930518,19930514,19930514
19930707,19930630,19930630
19930817,19930811,19930811
19930921,19930915,19930915
19931116,19931110,19931110
19931221,19931215,19931215
19940204,19940131,19940128
19940322,19940316,19940317
19940517,19940513,19940513
19940706,19940630,19940629
19940816,19940812,19940812
19940927,19940921,19940921
19941115,19941109,19941109
19941220,19941214,19941214
19950201,19950125,19950125
19950328,19950322,19950322
19950523,19950517,19950517
19950706,19950628,19950628
19950822,19950816,19950816
19950926,19950920,19950920
19951115,19951108,19951108
19951219,19951214,19951214
19960131,19960126,19960126
19960326,19960321,19960321
19960521,19960516,19960516
19960703,19960626,19960626
19960820,19960815,19960815
19960924,19960918,19960918
19961113,19961106,19961106
19961217,19961212,19961212
19970205,19970129,19970129
19970325,19970319,19970319
19970520,19970515,19970515
19970702,19970625,19970625
19970819,19970814,19970814
19970930,19970924,19970924
19971112,19971106,19971106
19971216,19971211,19971211
19980204,19980128,19980128
19980331,19980325,19980325
19980519,19980514,19980514
19980701,19980624,19980624
19980818,19980813,19980813
19980929,19980923,19980923
19981117,19981112,19981112
19981222,19981216,19981216
19990203,19990128,19990128
19990330,19990324,19990324
19990518,19990513,19990513
19990630,19990623,19990623
19990824,19990818,19990818
19991005,19990929,19990929
19991116,19991110,19991110
19991221,19991215,19991215
20000202,20000127,20000127
20000321,20000315,20000315
20000516,20000511,20000511
20000628,20000621,20000621
20000822,20000816,20000816
20001003,20000927,20000927
20001115,20001108,20001108
20001219,20001213,20001213
20010131,20010125,20010125
20010320,20010314,20010314
20010515,20010509,20010509
20010627,20010620,20010620
20010821,20010816,20010816
20011002,20010927,20010927
20011106,20011031,20011031
20011211,20011205,20011205
20020130,20020123,20020123
20020319,20020313,20020313
20020507,20020501,20020501
20020626,20020620,20020620
20020813,20020807,20020807
20020924,20020918,20020918
20021106,20021030,20021030
20021210,20021204,20021204
20030129,20030122,20030122
20030318,20030313,20030313
20030506,20030430,20030430
20030625,20030618,20030618
20030812,20030806,20030806
20030916,20030910,20030910
20031028,20031022,20031022
20031209,20031203,20031203
20040128,20040121,20040121
20040316,20040311,20040311
20040504,20040428,20040428
20040630,20040623,20040623
20040810,20040805,20040805
20040921,20040915,20040915
20041110,20041103,20041103
20041214,20041208,20041208
20050202,20050126,20050126
20050322,20050316,20050316
20050503,20050428,20050428
20050630,20050622,20050622
20050809,20050804,20050804
20050920,20050914,20050914
20051101,20051026,20051026
20051213,20051207,20051207
20060131,20060125,20060125
20060328,20060322,20060322
20060510,20060503,20060503
20060629,20060621,20060621
20060808,20060803,20060803
20060920,20060913,20060913
20061025,20061018,20061018
20061212,20061206,20061206
20070131,20070124,20070124
20070321,20070314,20070314
20070509,20070502,20070502
20070628,20070620,20070620
20070807,20070802,20070802
20070918,20070912,20070912
20071031,20071024,20071024
20071211,20071205,20071205
20080130,20080123,20080123
20080318,20080313,20080313
20080430,20080423,20080423
20080625,20080618,20080618
20080805,20080730,20080730
20080916,20080910,20080910
20081029,20081022,20081022
20081216,20081210,20081210
20090128,20090122,20090122
20090318,20090312,20090312
20090429,20090422,20090422
20090624,20090617,20090617
20090812,20090806,20090806
20090923,20090916,20090916
20091104,20091029,20091029
20091216,20091209,20091209
20100127,20100120,20100120
20100316,20100310,20100310
20100428,20100422,20100422
20100623,20100616,20100616
20100810,20100804,20100804
20100921,20100915,20100915
20101103,20101027,20101027
20101214,20101208,20101208
20110126,20110119,20110119
20110315,20110309,20110309
20110427,20110420,20110420
20110622,20110615,20110615
20110809,20110803,20110803
20110921,20110914,20110914
20111102,20111026,20111026
20111213,20111207,20111207
20120125,20120118,20120118
20120313,20120307,20120307
20120425,20120418,20120418
20120620,20120613,20120613
20120801,20120725,20120725
20120913,20120905,20120905
20121024,20121017,20121017
20121212,20121205,20121205
20130130,20130123,20130123
20130320,20130313,20130313
20130501,20130424,20130424
20130619,20130612,20130612
20130731,20130724,20130724
20130918,20130911,20130911
20131030,20131023,20131023
20131218,20131212,20131212
20140129,20140123,20140123
20140319,20140312,20140312
20140430,20140423,20140423
20140618,20140611,20140611
20140730,20140723,20140723
20140917,20140910,20140910
20141029,20141022,20141022
20141217,20141210,20141210
20150128,20150121,20150121
20150318,20150311,20150311
20150429,20150422,20150422
20150617,20150610,20150610
20150729,20150722,20150722
20150917,20150909,20150909
20151028,20151021,20151021
20151216,20151209,20151209
20160127,20160120,20160120
20160316,20160309,20160309
20160427,20160420,20160420
20160615,20160608,20160608
20160727,20160720,20160720
20160921,20160914,20160914
20161102,20161026,20161026
20161214,20161207,20161207
20170201,20170123,20170123
20170315,20170303,20170303
20170503,20170421,20170421
20170614,20170605,20170605
20170726,20170714,20170714
20170920,20170908,20170908
20171101,20171020,20171020
20171213,20171201,20171201
20180131,20180119,20180119
20180321,20180309,20180309
20180502,20180420,20180420
20180613,20180601,20180601
20180801,20180720,20180720
20180926,20180914,20180914
20181108,20181026,20181026
20181219,20181207,20181207
