fomc,DFFR,rr_original,rr_update
1980-08-12,.25,-.19814774,-.0416751
1980-09-16,1,.77087134,.8385634
1980-10-21,1.5,1.2181396,1.342347
1980-11-18,1.75,1.8714169,1.841858
1980-12-19,-.75,-.63415991,-.6891677
1981-02-03,-.5,-.78348417,-.7312036
1981-03-31,.875,.30737835,.3876393
1981-05-18,1.5,1.5149078,1.605231
1981-07-07,-1,-.61096062,-.626825
1981-08-18,-.5,-.04054309,-.0972121
1981-10-06,-1,-.57439382,-.5293056
1981-11-17,-1,-.35593212,-.4091117
1981-12-22,-.25,.10007762,.108547
1982-02-02,.5,1.0211452,.9829071
1982-03-30,-.5,-.43475769,-.361773
1982-05-18,-.75,-.05561013,-.146748
1982-07-01,-.5,-.19626301,-.201623
1982-08-24,-.75,-.2112454,-.3164504
1982-10-05,-.75,-.24244832,-.3382641
1982-11-16,-.5,.12472372,-.0461325
1982-12-21,0,.65072953,.480697
1983-02-09,0,.18481193,.0808852
1983-03-29,.125,.14482563,.1000638
1983-05-24,.25,-.01874941,.0070448
1983-07-13,.3125,-.00784959,.0381656
1983-08-23,-.0625,-.23448616,-.222536
1983-10-04,0,.28151888,.1664656
1983-11-15,0,-.17242601,-.1798216
1983-12-20,.125,.21689761,.1435673
1984-01-31,0,.25743647,.1374851
1984-03-27,.375,-.10098804,-.0581063
1984-05-22,0,.17324327,.0803124
1984-07-17,.375,.32681285,.3606533
1984-08-21,-.0625,-.06128394,-.0323988
1984-10-02,-.375,.03528652,-.0495699
1984-11-07,-.75,-.54564314,-.5630239
1984-12-18,-.625,-.14361098,-.2245765
1985-02-13,0,-.15775249,-.104821
1985-03-26,0,.20127599,.1684604
1985-05-21,-.375,-.10394844,-.2015665
1985-07-10,0,.06023873,.0534397
1985-08-20,0,.18638612,.1473785
1985-10-01,0,.10401637,.0772512
1985-11-05,-.0625,.02079826,-.011947
1985-12-17,-.1875,-.069444,-.0963543
1986-02-12,0,-.10995812,-.0833996
1986-04-01,0,.20671638,.1849952
1986-05-20,0,.07590495,.093345
1986-07-09,-.5,-.16781004,-.2214217
1986-08-19,-.375,-.23404965,-.2739214
1986-09-23,0,.00146967,.0068496
1986-11-05,0,.02113131,.0471782
1986-12-16,0,-.08178798,-.0392352
1987-02-11,0,.17574704,.1607307
1987-03-31,.1875,.19110595,.2052844
1987-05-19,.25,.23837619,.2622271
1987-07-07,0,-.04086544,-.0179069
1987-08-18,0,-.02104601,-.0091306
1987-09-22,0,-.14679527,-.094777
1987-11-03,-.3125,-.0851283,-.0751578
1987-12-16,0,-.18034346,-.1121731
1988-02-10,-.125,-.22381606,-.1526663
1988-03-29,.25,.01756493,.0884472
1988-05-17,.25,.18839649,.216041
1988-06-30,.25,.30758703,.3389212
1988-08-16,0,-.18150759,-.065089
1988-09-20,0,-.06728126,.0121924
1988-11-01,0,-.00936343,-.0135233
1988-12-14,.5625,.4458369,.4773016
1989-02-08,.1875,.29732694,.265441
1989-03-28,.125,.06094303,.096714
1989-05-16,0,.15339881,.1431841
1989-07-06,-.25,.07477303,.0142773
1989-08-22,0,-.13910708,-.0732036
1989-10-03,0,-.08660599,-.0190747
1989-11-14,0,.10777231,.1214528
1989-12-19,-.25,-.06655027,-.0593478
1990-02-07,0,.31303953,.2374849
1990-03-27,0,-.09391278,-.060477
1990-05-15,0,.04396574,.0301792
